time	Albedo(1)	Albedo(2)	Albedo(3)	Albedo(4)	Albedo(5)	Albedo(6)	Albedo(7)	Albedo(8)	Albedo(9)	Albedo(10)	Albedo(11)	Albedo(12)	Albedo(13)	Albedo(14)	Albedo(15)	Albedo(16)	Albedo(17)	Albedo(18)	Albedo(19)	Albedo(20)	Albedo(21)	Albedo(22)	Albedo(23)	Albedo(24)	Albedo(25)	Albedo(26)	Albedo(27)	Albedo(28)	Albedo(29)	Albedo(30)	Albedo(31)	Albedo(32)	Albedo(33)	Albedo(34)	Albedo(35)	Albedo(36)	Albedo(37)	Albedo(38)	Albedo(39)	Albedo(40)	Albedo(41)	Albedo(42)	Albedo(43)	Albedo(44)	Albedo(45)	Albedo(46)	Albedo(47)	Albedo(48)
units	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()
2022-03-01T02:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T03:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T04:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T05:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T06:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T07:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T08:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T09:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
2022-03-01T10:00	0.3	0.92	0.92	0.3	0.92	0.3	0.92	0.3	0.3	0.3	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.92	0.92	0.92	0.92	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
