TOA5	CR300Series	CR300	1475	CR300.Std.02.00	CPU:ottpls_cr300.CR300	7395	Table1
TIMESTAMP	RECORD	Water_Level_cm	Water_Temp_C				
TS	RN	centimeter	degrees Celsius				
		Smp	Smp				
06/09/2022 14:30	0	10.76	5.062				
06/09/2022 15:00	1	10.64	4.965				
06/09/2022 15:30	2	10.66	4.876				
06/09/2022 16:00	3	10.69	4.804				
06/09/2022 16:30	4	10.67	4.566				
06/09/2022 17:00	5	10.64	4.343				
06/09/2022 17:30	6	10.63	4.073				
06/09/2022 18:00	7	10.66	3.939				
06/09/2022 18:30	8	10.54	3.874				
06/09/2022 19:00	9	10.57	3.849				
06/09/2022 19:30	10	10.57	3.784				
06/09/2022 20:00	11	10.58	3.77				
06/09/2022 20:30	12	10.57	3.748				
06/09/2022 21:00	13	10.65	3.712				
06/09/2022 21:30	14	10.66	3.661				
06/09/2022 22:00	15	10.6	3.668				
06/09/2022 22:30	16	10.61	3.654				
06/09/2022 23:00	17	10.7	3.65				
06/09/2022 23:30	18	10.7	3.636				
07/09/2022 0:00	19	10.72	3.643				
07/09/2022 0:30	20	10.77	3.643				
07/09/2022 1:00	21	10.73	3.621				
07/09/2022 1:30	22	10.77	3.61				
07/09/2022 2:00	23	10.7	3.596				
07/09/2022 2:30	24	10.79	3.56				
07/09/2022 3:00	25	10.67	3.567				
07/09/2022 3:30	26	10.79	3.549				
07/09/2022 4:00	27	10.8	3.545				
07/09/2022 4:30	28	10.83	3.545				
07/09/2022 5:00	29	10.8	3.538				
07/09/2022 5:30	30	10.81	3.578				
07/09/2022 6:00	31	10.74	3.513				
07/09/2022 6:30	32	10.81	3.513				
07/09/2022 7:00	33	10.74	3.531				
07/09/2022 7:30	34	10.79	3.574				
07/09/2022 8:00	35	10.88	3.56				
07/09/2022 8:30	36	10.87	3.589				
07/09/2022 9:00	37	10.86	3.614				
07/09/2022 9:30	38	10.85	3.657				
07/09/2022 10:00	39	10.76	3.715				
07/09/2022 10:30	40	10.76	3.686				
07/09/2022 11:00	41	10.72	3.773				
07/09/2022 11:30	42	10.83	3.863				
07/09/2022 12:00	43	10.83	3.91				
07/09/2022 12:30	44	10.84	3.99				
07/09/2022 13:00	45	10.88	4.03				
07/09/2022 13:30	46	10.95	4.304				
