TOA5	CR3000	CR3000	6126	CR3000.Std.22	CPU:EMAM_Echaurren_2022sep.CR3	39792	Echaurren_prom											
TIMESTAMP	RECORD	batt_volt_Min	short_up_Avg	short_dn_Avg	long_up_corr_Avg	long_dn_corr_Avg	WinVel_Avg	WinDir_Avg	Taire_Avg	Haire_Avg	T_Aspirado_Avg	H_Aspirado_Avg	BP_hPA_Avg	T_Sup_Avg	DetectorTC_Avg	ejex_Avg	ejey_Avg	Profundidad_Avg
TS	RN	volts	W/m^2	W/m^2	W/m^2	W/m^2	m/s	grados	c	%	c	%	hPA			grados	grados	m
		Min	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg
26/09/2022 19:00	0	12.85	3.445.374	4.398.437	3.297.191	3.923.436	0.746	201.2	16.43	51.82	1.667.477	5.303.327	955	1.496.115	1.676.955	1.202	3.748	0.604
26/09/2022 20:00	1	12.78	7.047.548	2.238.031	3.352.895	3.834.369	0.188	208.4	15.13	57.47	1.534.926	5.885.941	955	1.327.987	1.540.228	1.227	3.603	0.364
26/09/2022 21:00	2	12.74	-1.882.055	1.880.161	3.350.522	3.756.496	0.23	151.6	13.97	62.42	1.416.843	63.978	955	1.178.652	1.409.225	1.237	3.589	0.364
26/09/2022 22:00	3	12.71	-1.010.222	2.173.594	3.338.705	3.711.124	0.185	207.8	13.39	64.59	1.353.476	6.633.786	955	1.087.607	1.330.422	1.264	3.591	0.364
26/09/2022 23:00	4	12.68	-0.6800967	1.935.929	3.387.367	3.706.118	0.23	216.6	13.03	65.86	1.319.265	6.758.399	955	1.071.982	1.297.798	1.248	3.583	0.364
27/09/2022 0:00	5	12.65	-1.018.763	2.010.098	3.310.551	3.664.093	0.121	212.5	12.48	67.87	1.266.961	69.385	955	974.755	124.474	1.246	3.606	0.364
27/09/2022 1:00	6	12.62	-1.476.004	2.136.792	3.221.096	362.238	0.163	166.3	11.71	69.96	1.187.203	7.153.748	955	8.855.433	1.170.923	1.247	3.617	0.363
27/09/2022 2:00	7	12.6	-1.165.604	1.945.408	3.248.212	3.609.005	0.174	136.6	11.12	71.49	1.128.898	7.314.654	955	8.746.766	111.478	1.255	3.606	0.365
27/09/2022 3:00	8	12.58	-0.6604351	2.022.667	3.275.247	3.605.786	0.196	248.4	10.87	71.98	1.104.857	7.363.317	955	860.895	1.084.817	1.264	3.605	0.365
27/09/2022 4:00	9	12.57	-0.3273964	2.291.377	3.214.254	3.581.758	0.293	235.2	10.9	70.53	109.886	7.258.627	955	8.178.849	10.72	1.266	3.605	0.366
27/09/2022 5:00	10	12.56	-1.459.197	1.967.127	309.953	3.565.185	0.12	250.2	10.84	71.55	1.096.238	7.342.818	954	764.415	1.079.063	1.257	3.609	0.365
27/09/2022 6:00	11	12.55	-1.470.536	2.313.073	3.032.301	3.528.932	0.565	173.3	10.32	72.05	1.039.472	7.412.368	954	69.556	1.018.305	1.254	3.607	0.364
27/09/2022 7:00	12	12.55	-1.860.092	2.340.928	3.020.785	3.502.851	0.17	138.2	9.89	72.61	1.002.049	7.440.694	954	6.392.849	9.818.683	1.256	3.619	0.362
27/09/2022 8:00	13	12.54	1.227.371	4.506.143	3.026.563	3.477.591	0.117	151.6	9.05	76.44	9.230.718	7.793.461	955	586.855	878.165	1.269	3.615	0.362
28/09/2022 14:00	14	13.83	NAN	NAN	NAN	NAN	10.97	7.125	-52.57	-1.245	-5.398.652	-1.538.319	505.6	NAN	0	0	0	-1.307
28/09/2022 15:00	15	12.81	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	552.3	NAN	5.100.581	NAN	NAN	-0.227
28/09/2022 16:00	16	13.63	6.673.233	3.755.574	2.314.828	3.212.709	1.49	263	4.357	31.55	5.558.163	3.008.372	656.1	-1.430.583	918.925	7.125	-0.136	0.827
28/09/2022 17:00	17	13.17	8.218.067	7.078.302	2.219.987	2.976.431	2.131	250.9	-0.873	46.96	-0.3387705	4.676.705	655.7	-5.278.383	0.06091665	7.262	-0.252	0.667
28/09/2022 18:00	18	13.12	1.830.036	1.376.784	2.427.946	2.974.099	2.75	253.2	-0.914	54.15	-0.5921421	547.659	655.4	-501.605	-0.4302666	7.298	-0.247	0.772
28/09/2022 19:00	19	13.36	1.415.948	101.498	267.098	3.023.113	1.216	243.1	-0.383	55.37	0.0691878	553.672	655.4	-39.169	0.4111	7.325	-0.235	0.805
28/09/2022 20:00	20	12.97	1.453.213	1.145.301	2.669.614	2.973.444	1.152	108.8	-1.651	61.64	-1.341.703	6.207.428	655.4	-49.007	-1.354.633	7.342	-0.244	0.728
28/09/2022 21:00	21	12.8	-1.121.482	0.7696259	2.534.711	2.889.037	1.336	86.3	-2.583	61.67	-2.501.601	6.312.013	655.6	-6.701.133	-2.578.467	7.357	-0.25	0.729
28/09/2022 22:00	22	12.73	-122.897	0.6398678	2.534.974	2.875.274	1.236	38.94	-2.856	57.69	-2.765.035	5.902.802	655.8	-7.053.566	-2.824.167	7.365	-0.249	0.756
28/09/2022 23:00	23	12.69	-2.500.492	0.8439374	2.192.841	2.788.669	1.68	87.7	-3.249	54.4	-3.319.799	5.637.492	655.9	-9.198.633	-3.359.967	7.365	-0.249	0.754
29/09/2022 0:00	24	12.66	-2.280.325	1.010.985	2.149.964	2.735.868	1.422	222.6	-4.012	62.57	-4.078.729	6.469.511	655.7	-105.007	-4.011.467	7.379	-0.25	0.752
29/09/2022 1:00	25	12.63	-1.025.807	1.394.451	229.466	2.747.769	1.226	278.2	-4.322	65.9	-4.410.697	6.830.225	655.4	-1.010.223	-4.345.433	7.386	-0.246	0.768
29/09/2022 2:00	26	12.59	-1.596.668	1.258.437	2.223.556	2.739.209	1.876	89.9	-4.134	60.44	-4.266.729	6.291.737	655	-1.040.932	-4.255.183	7.385	-0.242	0.789
29/09/2022 3:00	27	12.57	-1.955.593	1.512.002	2.088.443	2.692.788	1.182	217.2	-4.522	60.24	-4.629.307	6.276.311	654.8	-115.356	-4.618.933	7.398	-0.234	0.773
29/09/2022 4:00	28	12.54	-1.469.604	1.713.076	2.075.524	2.684.477	1.922	225.2	-4.251	55.26	-446.389	5.795.941	654.4	-11.678	-442.015	7.408	-0.233	0.779
