fecmed,medici
28/03/2016 12:41:00,3.60
28/03/2016 13:41:00,5.02
28/03/2016 14:41:00,4.59
28/03/2016 15:41:00,4.25
28/03/2016 16:41:00,5.10
28/03/2016 17:41:00,3.71
28/03/2016 18:41:00,3.96
28/03/2016 19:41:00,2.88
28/03/2016 20:41:00,2.75
28/03/2016 21:41:00,2.59
28/03/2016 22:41:00,1.50
28/03/2016 23:41:00,0.96
29/03/2016 00:41:00,0.35
29/03/2016 01:41:00,0.42
29/03/2016 02:41:00,0.43
29/03/2016 03:41:00,1.23
29/03/2016 04:41:00,1.37
29/03/2016 05:41:00,1.52
29/03/2016 06:41:00,1.03
29/03/2016 07:41:00,1.68
29/03/2016 08:41:00,2.49
29/03/2016 09:41:00,1.13
29/03/2016 10:41:00,1.54
29/03/2016 11:41:00,1.95
29/03/2016 12:41:00,3.21
29/03/2016 13:41:00,3.85
29/03/2016 14:41:00,5.60
29/03/2016 15:41:00,6.13
29/03/2016 16:41:00,3.84
29/03/2016 17:41:00,3.44
29/03/2016 18:41:00,2.95
29/03/2016 19:41:00,4.86
29/03/2016 20:41:00,2.95
29/03/2016 21:41:00,2.52
29/03/2016 22:41:00,1.64
29/03/2016 23:41:00,1.70
30/03/2016 00:41:00,1.60
30/03/2016 01:41:00,1.60
30/03/2016 02:41:00,1.27
30/03/2016 03:41:00,1.12
30/03/2016 04:41:00,1.01
30/03/2016 05:41:00,1.00
30/03/2016 06:41:00,1.73
30/03/2016 07:41:00,1.88
30/03/2016 08:41:00,1.81
30/03/2016 09:41:00,1.51
30/03/2016 10:41:00,1.97
30/03/2016 11:41:00,3.37
30/03/2016 12:41:00,3.28
30/03/2016 13:41:00,3.38
30/03/2016 14:41:00,4.56
30/03/2016 15:41:00,5.38
30/03/2016 16:41:00,5.89
30/03/2016 17:41:00,4.95
30/03/2016 18:41:00,4.34
30/03/2016 19:41:00,2.94
30/03/2016 20:41:00,3.47
30/03/2016 21:41:00,4.48
30/03/2016 22:41:00,3.81
30/03/2016 23:41:00,3.38
31/03/2016 00:41:00,4.54
31/03/2016 01:41:00,4.45
31/03/2016 02:41:00,5.09
31/03/2016 03:41:00,3.78
31/03/2016 04:41:00,3.31
31/03/2016 05:41:00,2.65
31/03/2016 06:41:00,2.83
31/03/2016 07:41:00,4.38
31/03/2016 08:41:00,3.58
31/03/2016 09:41:00,3.05
31/03/2016 10:41:00,3.42
31/03/2016 11:41:00,3.22
31/03/2016 12:41:00,3.15
31/03/2016 13:41:00,4.03
31/03/2016 14:41:00,3.96
31/03/2016 15:41:00,4.43
31/03/2016 16:41:00,4.77
31/03/2016 17:41:00,4.29
31/03/2016 18:41:00,4.91
31/03/2016 19:41:00,4.98
31/03/2016 20:41:00,6.28
31/03/2016 21:41:00,2.67
31/03/2016 22:41:00,2.23
31/03/2016 23:41:00,2.47
01/04/2016 00:41:00,2.35
01/04/2016 01:41:00,1.96
01/04/2016 02:41:00,2.42
01/04/2016 03:41:00,3.90
01/04/2016 04:41:00,2.37
01/04/2016 05:41:00,3.76
01/04/2016 06:41:00,2.38
01/04/2016 07:41:00,2.31
01/04/2016 08:41:00,1.81
01/04/2016 09:41:00,1.40
01/04/2016 10:41:00,1.54
01/04/2016 11:41:00,1.83
01/04/2016 12:41:00,2.61
01/04/2016 13:41:00,2.69
01/04/2016 14:41:00,4.47
01/04/2016 15:41:00,4.76
01/04/2016 16:41:00,4.74
01/04/2016 17:41:00,5.50
01/04/2016 18:41:00,6.05
01/04/2016 19:41:00,4.63
01/04/2016 20:41:00,4.01
01/04/2016 21:41:00,3.98
01/04/2016 22:41:00,3.36
01/04/2016 23:41:00,2.34
02/04/2016 00:41:00,2.59
02/04/2016 01:41:00,3.86
02/04/2016 02:41:00,4.10
02/04/2016 03:41:00,3.93
02/04/2016 04:41:00,4.08
02/04/2016 05:41:00,3.45
02/04/2016 06:41:00,2.70
02/04/2016 07:41:00,3.06
02/04/2016 08:41:00,3.34
02/04/2016 09:41:00,3.02
02/04/2016 10:41:00,2.94
02/04/2016 11:41:00,4.28
02/04/2016 12:41:00,4.81
02/04/2016 13:41:00,4.57
02/04/2016 14:41:00,4.50
02/04/2016 15:41:00,5.98
02/04/2016 16:41:00,5.32
02/04/2016 17:41:00,5.28
02/04/2016 18:41:00,5.12
02/04/2016 19:41:00,4.09
02/04/2016 20:41:00,3.98
02/04/2016 21:41:00,2.77
02/04/2016 22:41:00,2.56
02/04/2016 23:41:00,2.99
