fecmed,medici
12/01/2022 09:42:00,34.30
12/01/2022 10:42:00,149.20
12/01/2022 11:42:00,777.80
12/01/2022 12:42:00,976.80
12/01/2022 13:42:00,1126.00
12/01/2022 14:42:00,328.60
12/01/2022 15:42:00,559.40
12/01/2022 16:42:00,1219.90
12/01/2022 17:42:00,342.90
12/01/2022 18:42:00,316.10
12/01/2022 19:42:00,524.10
12/01/2022 20:42:00,72.40
12/01/2022 21:42:00,24.70
12/01/2022 22:42:00,-5.10
12/01/2022 23:42:00,-3.90
13/01/2022 00:42:00,-5.10
13/01/2022 01:42:00,-4.20
13/01/2022 02:42:00,-5.70
13/01/2022 03:42:00,-5.70
13/01/2022 04:42:00,-4.20
13/01/2022 05:42:00,-5.10
13/01/2022 06:42:00,-5.70
13/01/2022 07:42:00,-4.50
13/01/2022 08:42:00,8.10
13/01/2022 09:42:00,31.60
13/01/2022 10:42:00,536.10
13/01/2022 11:42:00,765.60
13/01/2022 12:42:00,951.50
13/01/2022 13:42:00,1119.20
13/01/2022 14:42:00,745.60
13/01/2022 15:42:00,443.10
13/01/2022 16:42:00,1267.90
13/01/2022 17:42:00,1120.40
13/01/2022 18:42:00,856.50
13/01/2022 19:42:00,511.50
13/01/2022 20:42:00,43.80
13/01/2022 21:42:00,23.50
13/01/2022 22:42:00,-6.30
14/01/2022 00:42:00,-5.10
14/01/2022 01:42:00,-5.70
14/01/2022 02:42:00,-5.10
14/01/2022 03:42:00,-4.50
14/01/2022 04:42:00,-5.10
14/01/2022 05:42:00,-4.50
14/01/2022 06:42:00,-4.50
14/01/2022 07:42:00,-5.10
14/01/2022 08:42:00,14.90
14/01/2022 09:42:00,62.40
14/01/2022 10:42:00,559.90
14/01/2022 11:42:00,788.20
14/01/2022 12:42:00,979.80
14/01/2022 13:42:00,1106.10
14/01/2022 14:42:00,1178.20
14/01/2022 15:42:00,943.40
14/01/2022 16:42:00,1050.40
14/01/2022 17:42:00,908.90
14/01/2022 18:42:00,355.10
14/01/2022 19:42:00,452.50
14/01/2022 20:42:00,126.30
14/01/2022 21:42:00,56.90
14/01/2022 22:42:00,-1.80
14/01/2022 23:42:00,-5.10
15/01/2022 00:42:00,-4.80
15/01/2022 01:42:00,-3.90
15/01/2022 02:42:00,-3.90
15/01/2022 03:42:00,-3.60
15/01/2022 04:42:00,-3.90
15/01/2022 05:42:00,-4.80
15/01/2022 06:42:00,-4.50
15/01/2022 07:42:00,-3.90
15/01/2022 08:42:00,7.80
15/01/2022 09:42:00,95.80
15/01/2022 10:42:00,399.50
15/01/2022 11:42:00,449.50
15/01/2022 12:42:00,1147.70
15/01/2022 13:42:00,1204.60
15/01/2022 14:42:00,1183.10
15/01/2022 15:42:00,1156.80
15/01/2022 16:42:00,1084.40
15/01/2022 17:42:00,932.40
15/01/2022 18:42:00,769.20
