cat,value
"2",3931.903564
"1",3857.862305
"3",3727.132324
"5",3590.197754
"4",3730.388916
"6",3919.661377
"7",3590.197754
"10",3705.811768
"9",3499.016113
"8",3705.811768
"12",3506.904053
"15",3298.692871
"18",3931.903564
"20",3727.132324
"14",3326.776855
"13",4054.876221
"17",3298.692871
"19",4078.344971
"11",3442.104004
"23",3919.661377
"24",3705.811768
"21",3689.836426
"25",3106.966553
"16",3308.441406
"27",3442.104004
"26",3442.104004
"29",3727.132324
"30",3705.811768
"32",3727.132324
"31",3705.811768
"22",3092.729492
"34",3931.903564
"33",3506.904053
"36",3879.303955
"39",3590.197754
"28",3106.966553
"38",3919.661377
"40",4078.344971
"37",3308.441406
"35",3442.104004
"43",3730.388916
"41",3106.966553
"42",3931.903564
"45",3931.903564
"44",3919.661377
"46",3919.661377
"47",3590.197754
"48",3727.132324
